n_caso;Sexo;idade;grupoet;habilit;p1;p2;p3;p4;p5a;p5b;p5c;p5d;p5e;p5f;p5g;p5h;p5i;p5j;p5k;pb;pc;pd;pe
43;Masculino;34;de 30 a 34 anos;até ensino secundário;Expresso;75;Ler algumas secções;7;Discordo;Discordo;Concordo;Concordo;Concordo;Concordo completamente;Concordo completamente;Nao concordo nem discordo;Concordo completamente;Concordo;Nao concordo nem discordo;diários e semanários;14;90;diário de notícias
46;Masculino;99;9;até ensino secundário;Expresso;75;Ler algumas secções;7;Nao concordo nem discordo;Nao concordo nem discordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Nao concordo nem discordo;Discordo completamente;diários e semanários;7;90;outro
52;Masculino;32;de 30 a 34 anos;até ensino secundário;Expresso;120;Ler algumas secções;6;Discordo;Discordo completamente;Concordo;Concordo completamente;Concordo;Concordo;Concordo completamente;Concordo;Concordo completamente;Concordo completamente;Concordo;diários e semanários;9;140;diário de notícias
55;Masculino;32;de 30 a 34 anos;até ensino secundário;Expresso;60;Ler algumas secções;6;Nao concordo nem discordo;Nao concordo nem discordo;Concordo completamente;Concordo;Concordo completamente;Concordo completamente;Concordo;Nao concordo nem discordo;Concordo;Nao concordo nem discordo;Nao concordo nem discordo;diários e semanários;14;70;correio da manhã
60;Masculino;45;>= 45 anos;até ensino secundário;Expresso;120;Ler algumas secções;5;Discordo;Discordo completamente;Concordo;Concordo;Concordo;Concordo;Concordo completamente;Concordo;Concordo completamente;Concordo;Concordo;diários e semanários;7;100;público
67;Masculino;24;< 25 anos;até ensino secundário;Expresso;135;Ler algumas secções;4;Discordo;Nao concordo nem discordo;Concordo completamente;Concordo completamente;Concordo completamente;Concordo completamente;Concordo;Concordo completamente;Concordo completamente;Concordo completamente;Concordo completamente;diários e semanários;7;160;diário de notícias
73;Masculino;45;>= 45 anos;ensino médio e superior;Expresso;120;Ler algumas secções;15;Nao concordo nem discordo;Concordo;Concordo completamente;Concordo completamente;Concordo completamente;Concordo completamente;Concordo completamente;Concordo completamente;Concordo completamente;Concordo completamente;Discordo;diários e semanários;1;140;outro
91;Masculino;30;de 30 a 34 anos;ensino médio e superior;Expresso;180;Ler algumas secções;5;Nao concordo nem discordo;Nao concordo nem discordo;Concordo;Concordo completamente;Concordo;Concordo completamente;Concordo;Concordo completamente;Concordo completamente;Concordo;Concordo completamente;diários e semanários;10;200;diário de notícias
92;Masculino;28;de 25 a 29 anos;ensino médio e superior;Expresso;150;Ler algumas secções;5;Nao concordo nem discordo;Concordo;Concordo completamente;Concordo completamente;Concordo completamente;Nao concordo nem discordo;Concordo;Concordo completamente;Concordo completamente;Concordo completamente;Concordo completamente;diários e semanários;9;180;público
93;Masculino;31;de 30 a 34 anos;ensino médio e superior;Expresso;120;Ler algumas secções;5;Nao concordo nem discordo;Concordo;Nao concordo nem discordo;Concordo completamente;Concordo;Nao concordo nem discordo;Concordo;Concordo;Concordo completamente;Nao concordo nem discordo;Discordo;diários e semanários;7;150;público
95;Masculino;31;de 30 a 34 anos;ensino médio e superior;Expresso;120;Ler algumas secções;5;Nao concordo nem discordo;Nao concordo nem discordo;Concordo;Concordo completamente;Nao concordo nem discordo;Nao concordo nem discordo;Concordo;Concordo;Concordo;Concordo;Concordo;diários e semanários;12;140;público
96;Masculino;44;de 40 a 44 anos;ensino médio e superior;Expresso;90;Ler algumas secções;4;Nao concordo nem discordo;Nao concordo nem discordo;Concordo;Concordo;Nao concordo nem discordo;Nao concordo nem discordo;Concordo;Concordo completamente;Concordo completamente;Concordo completamente;Concordo completamente;diários e semanários;20;100;a capital
